phylum	class	order	family	species
Arthropoda	Insecta	Coleoptera	Anthicidae	Anthelephila pedestris
Arthropoda	Insecta	Coleoptera	Anthicidae	Anthicus antherinus
Arthropoda	Insecta	Coleoptera	Anthicidae	Anthicus ater
Arthropoda	Insecta	Coleoptera	Anthicidae	Anthicus bimaculatus
Arthropoda	Insecta	Coleoptera	Anthicidae	Anthicus flavipes
Arthropoda	Insecta	Coleoptera	Anthicidae	Anthicus floralis
Arthropoda	Insecta	Coleoptera	Anthicidae	Anthicus sellatus
Arthropoda	Insecta	Coleoptera	Anthicidae	Cordicomus instabilis
Arthropoda	Insecta	Coleoptera	Anthicidae	Cyclodinus humilis
Arthropoda	Insecta	Coleoptera	Anthicidae	Hirticomus hispidus
Arthropoda	Insecta	Coleoptera	Anthicidae	Notoxus monoceros
Arthropoda	Insecta	Coleoptera	Anthicidae	Omonadus bifasciatus
Arthropoda	Insecta	Coleoptera	Anthicidae	Omonadus floralis
Arthropoda	Insecta	Coleoptera	Anthicidae	Omonadus formicarius
Arthropoda	Insecta	Coleoptera	Anthicidae	Stricticollis tobias
Arthropoda	Insecta	Coleoptera	Cantharidae	Ancistronycha abdominalis
Arthropoda	Insecta	Coleoptera	Cantharidae	Ancistronycha cyanipennis
Arthropoda	Insecta	Coleoptera	Cantharidae	Ancistronycha erichsonii
Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis cryptica
Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis decipiens
Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis dissipata
Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis figurata
Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis flavilabris
Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis fulvicollis
Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis fusca
Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis lateralis
Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis livida
Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis nigra
Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis nigricans
Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis obscura
Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis pagana
Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis pallida
Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis paludosa
Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis paradoxa
Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis pellucida
Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis quadripunctata
Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis rufa
Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis rustica
Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis soeulensis
Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis sudetica
Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis thoracica
Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis tristis
Arthropoda	Insecta	Coleoptera	Cantharidae	Cratosilis denticollis
Arthropoda	Insecta	Coleoptera	Cantharidae	Cratosilis sicula
Arthropoda	Insecta	Coleoptera	Cantharidae	Dichelotarsus flavimanus
Arthropoda	Insecta	Coleoptera	Cantharidae	Dichelotarsus lapponicus
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthinus balteatus
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthinus biguttatus
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthinus facialis
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthinus flaveolus
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthinus frontalis
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthinus glabellus
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthinus moravicus
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthinus punctatus
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthinus seriepunctatus
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthodes brevicollis
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthodes crassicornis
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthodes debilis
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthodes dispar
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthodes europaeus
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthodes fibulatus
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthodes flavoguttatus
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthodes fuscus
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthodes guttifer
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthodes hexacanthus
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthodes holdhausi
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthodes lobatus
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthodes marginatus
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthodes maurus
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthodes minimus
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthodes misellus
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthodes mysticus
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthodes pumilus
Arthropoda	Insecta	Coleoptera	Cantharidae	Malthodes spathifer
Arthropoda	Insecta	Coleoptera	Cantharidae	Metacantharis clypeata
Arthropoda	Insecta	Coleoptera	Cantharidae	Metacantharis discoidea
Arthropoda	Insecta	Coleoptera	Cantharidae	Metacantharis haemorrhoidalis
Arthropoda	Insecta	Coleoptera	Cantharidae	Podabrus alpinus
Arthropoda	Insecta	Coleoptera	Cantharidae	Podistra prolixa
Arthropoda	Insecta	Coleoptera	Cantharidae	Podistra rufotestacea
Arthropoda	Insecta	Coleoptera	Cantharidae	Podistra schoenherri
Arthropoda	Insecta	Coleoptera	Cantharidae	Rhagonycha atra
Arthropoda	Insecta	Coleoptera	Cantharidae	Rhagonycha elongata
Arthropoda	Insecta	Coleoptera	Cantharidae	Rhagonycha fugax
Arthropoda	Insecta	Coleoptera	Cantharidae	Rhagonycha fulva
Arthropoda	Insecta	Coleoptera	Cantharidae	Rhagonycha fuscitibia
Arthropoda	Insecta	Coleoptera	Cantharidae	Rhagonycha gallica
Arthropoda	Insecta	Coleoptera	Cantharidae	Rhagonycha lignosa
Arthropoda	Insecta	Coleoptera	Cantharidae	Rhagonycha limbata
Arthropoda	Insecta	Coleoptera	Cantharidae	Rhagonycha lutea
Arthropoda	Insecta	Coleoptera	Cantharidae	Rhagonycha nigriceps
Arthropoda	Insecta	Coleoptera	Cantharidae	Rhagonycha nigripes
Arthropoda	Insecta	Coleoptera	Cantharidae	Rhagonycha nigriventris
Arthropoda	Insecta	Coleoptera	Cantharidae	Rhagonycha testacea
Arthropoda	Insecta	Coleoptera	Cantharidae	Rhagonycha translucida
Arthropoda	Insecta	Coleoptera	Cantharidae	Silis nitidula
Arthropoda	Insecta	Coleoptera	Cantharidae	Silis ruficollis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Acanthocinus aedilis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Acanthocinus griseus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Acanthocinus reticulatus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Acanthocinus sachalinensis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Aegomorphus clavipes
Arthropoda	Insecta	Coleoptera	Cerambycidae	Aegomorphus francottei
Arthropoda	Insecta	Coleoptera	Cerambycidae	Aegosoma scabricorne
Arthropoda	Insecta	Coleoptera	Cerambycidae	Agapanthia amurensis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Agapanthia cardui
Arthropoda	Insecta	Coleoptera	Cerambycidae	Agapanthia daurica
Arthropoda	Insecta	Coleoptera	Cerambycidae	Agapanthia intermedia
