sampleid	species	real_species	ident_rank	voucher_type	seqlength	ambiguities	museum_id	institut	identifier	country	BIN
BIOUG52693-D01	Apis mellifera	Apis mellifera	species	Vouchered:Registered Collection	654	0	BIOUG52693-D01	Centre for Biodiversity Genomics	Kate Perez	Australia	BOLD:AAA2326
BIOUG52693-D04	Apis mellifera	Apis mellifera	species	Vouchered:Registered Collection	652	0	BIOUG52693-D04	Centre for Biodiversity Genomics	Kate Perez	Australia	BOLD:AAA2326
BIOUG53821-E08	Cortinicara gibbosa	Cortinicara gibbosa	species	Vouchered:Registered Collection	652	0	BIOUG53821-E08	Centre for Biodiversity Genomics	Kate Perez	Australia	BOLD:AAY6566
BIOUG53821-G01	Cortinicara gibbosa	Cortinicara gibbosa	species	Vouchered:Registered Collection	640	0	BIOUG53821-G01	Centre for Biodiversity Genomics	Kate Perez	Australia	BOLD:AAY6566
BIOUG53821-G05	Cortinicara gibbosa	Cortinicara gibbosa	species	Vouchered:Registered Collection	654	0	BIOUG53821-G05	Centre for Biodiversity Genomics	Kate Perez	Australia	BOLD:AAY6566
BIOUG53821-H04	Cortinicara gibbosa	Cortinicara gibbosa	species	Vouchered:Registered Collection	652	0	BIOUG53821-H04	Centre for Biodiversity Genomics	Kate Perez	Australia	BOLD:AAY6566
BIOUG53821-H09	Cortinicara gibbosa	Cortinicara gibbosa	species	Vouchered:Registered Collection	652	0	BIOUG53821-H09	Centre for Biodiversity Genomics	Kate Perez	Australia	BOLD:AAY6566
BIOUG53822-A08	Rhopalosiphum rufiabdominale	Rhopalosiphum rufiabdominale	species	Vouchered:Registered Collection	653	0	BIOUG53822-A08	Centre for Biodiversity Genomics	Valerie Levesque-Beaudin	Australia	BOLD:AAI0406
BIOUG53822-A09	Acyrthosiphon pisum	Acyrthosiphon pisum	species	Vouchered:Registered Collection	651	0	BIOUG53822-A09	Centre for Biodiversity Genomics	Kate Perez	Australia	BOLD:AAB1787
BIOUG53822-C11	Acyrthosiphon pisum	Acyrthosiphon pisum	species	Vouchered:Registered Collection	654	0	BIOUG53822-C11	Centre for Biodiversity Genomics	Kate Perez	Australia	BOLD:AAB1787
BIOUG53822-D02	Acyrthosiphon pisum	Acyrthosiphon pisum	species	Vouchered:Registered Collection	651	0	BIOUG53822-D02	Centre for Biodiversity Genomics	Kate Perez	Australia	BOLD:AAB1787
BIOUG53822-E04	Rhopalosiphum padi	Rhopalosiphum padi	species	Vouchered:Registered Collection	654	0	BIOUG53822-E04	Centre for Biodiversity Genomics	Kate Perez	Australia	BOLD:AAA9899
BIOUG53822-E08	Acyrthosiphon pisum	Acyrthosiphon pisum	species	Vouchered:Registered Collection	652	0	BIOUG53822-E08	Centre for Biodiversity Genomics	Kate Perez	Australia	BOLD:AAB1787
BIOUG53822-E11	Myzus persicae	Brachycaudus persicae	species	Vouchered:Registered Collection	640	0	BIOUG53822-E11	Centre for Biodiversity Genomics	Kate Perez	Australia	BOLD:AAA7683
