species	marker_code	kingdom
Epitonium trevelyanum	COI-5P	Animalia
Pachylaelaps pectinifer	COI-5P	Animalia
Hieracium cardiophyllum	COI-5P	Animalia
Suctobelbella hammerae	COI-5P	Animalia
Delavalia palustris	COI-5P	Animalia
Xorides alpestris	COI-5P	Animalia
Alicorhagia fragilis	COI-5P	Animalia
Branta canadensis	COI-5P	Animalia
Bidens trichosperma	COI-5P	Animalia
Anacamptis laxiflora	COI-5P	Animalia
Ciconia abdimii	COI-5P	Animalia
Epistrophe olgae	COI-5P	Animalia
Rhithrogena picteti	COI-5P	Animalia
Diastata cervinala	COI-5P	Animalia
Gaeumannomyces caricis	COI-5P	Animalia
Erioconopa diuturna	COI-5P	Animalia
Litus cynipseus	COI-5P	Animalia
Rhysotritia duplicata	COI-5P	Animalia
Artomyces pyxidatus	COI-5P	Animalia
Ampharete acutifrons	COI-5P	Animalia
Mollisia lothariana	COI-5P	Animalia
Histiostoma maritimus	COI-5P	Animalia
Hypomyces chrysostomus	COI-5P	Animalia
Rhagadiolus stellatus	COI-5P	Animalia
Arcuatula senhousia	COI-5P	Animalia
Atractotomus marcoi	COI-5P	Animalia
Rubus egregius	COI-5P	Animalia
Bryocamptus typhlops	COI-5P	Animalia
Splanchnonema quercicola	COI-5P	Animalia
Chlorophorus diadema	COI-5P	Animalia
Keratella quadrata	COI-5P	Animalia
Cotoneaster ambiguus	COI-5P	Animalia
Nucula nucleus	COI-5P	Animalia
Puccinia vulpinae	COI-5P	Animalia
Lotobia pallidiventris	COI-5P	Animalia
Prenanthes purpurea	COI-5P	Animalia
Hermodice carunculata	COI-5P	Animalia
Phytomyza thysselinivora	COI-5P	Animalia
Lobelia cardinalis	COI-5P	Animalia
Bunostomum phlebotomum	COI-5P	Animalia
Viteus vitifoliae	COI-5P	Animalia
Endasys petiolus	COI-5P	Animalia
Primula juliae	COI-5P	Animalia
Microplana kwiskea	COI-5P	Animalia
Ptygura mucicola	COI-5P	Animalia
Diphyus restitutor	COI-5P	Animalia
Kitaibela vitifolia	COI-5P	Animalia
Chenopodium variabile	COI-5P	Animalia
Rumex conspersus	COI-5P	Animalia
Pexopsis aprica	COI-5P	Animalia
Aciura coryli	COI-5P	Animalia
Antenoron filiforme	COI-5P	Animalia
Corydalis cheilanthifolia	COI-5P	Animalia
Belisana ambengan	COI-5P	Animalia
Lactuca perennis	COI-5P	Animalia
Clematis jackmanii	COI-5P	Animalia
Trypoxylon kostylevi	COI-5P	Animalia
Salvia splendens	COI-5P	Animalia
Hyaloscypha britannica	COI-5P	Animalia
Elachista distigmatella	COI-5P	Animalia
Erucastrum nasturtiifolium	COI-5P	Animalia
Turritella communis	COI-5P	Animalia
Phytonemus pallidus	COI-5P	Animalia
Pterolophia angusta	COI-5P	Animalia
Ceratosebacina longispora	COI-5P	Animalia
Erysiphe viburni	COI-5P	Animalia
Populus canadensis	COI-5P	Animalia
Diastata nebulosa	COI-5P	Animalia
Lespedeza bicolor	COI-5P	Animalia
Threticus lucifugus	COI-5P	Animalia
Brassica carinata	COI-5P	Animalia
Taraxacum pietii-oosterveldii	COI-5P	Animalia
Aphis holoenotherae	COI-5P	Animalia
Parlatoria pergandii	COI-5P	Animalia
Discourella modesta	COI-5P	Animalia
Steccherinum litschaueri	COI-5P	Animalia
Corylus maxima	COI-5P	Animalia
Basidiodendron groningae	COI-5P	Animalia
Exallonyx trifoveatus	COI-5P	Animalia
Euphorbia characias	COI-5P	Animalia
Gleditsia sinensis	COI-5P	Animalia
Trochiscococcus speciosus	COI-5P	Animalia
Lecane styrax	COI-5P	Animalia
Taraxacum obliquum	COI-5P	Animalia
Alisterus scapularis	COI-5P	Animalia
Pholiotina nemoralis	COI-5P	Animalia
Lepista subconnexa	COI-5P	Animalia
Piptatherum miliaceum	COI-5P	Animalia
Aphis podagrariae	COI-5P	Animalia
Togninia minima	COI-5P	Animalia
Camisia biurus	COI-5P	Animalia
Stigmidium congestum	COI-5P	Animalia
Ophion confusus	COI-5P	Animalia
Aulodrilus pigueti	COI-5P	Animalia
Keratella cochlearis	COI-5P	Animalia
Nicotiana longiflora	COI-5P	Animalia
Tyrophagus similis	COI-5P	Animalia
Cortinarius anomalellus	COI-5P	Animalia
Calyptosphaeria tenebrosa	COI-5P	Animalia
Rubus siekensis	COI-5P	Animalia
Dianema repens	COI-5P	Animalia
Microcalanus pusillus	COI-5P	Animalia
Sperchon papillosus	COI-5P	Animalia
Gnaphalium undulatum	COI-5P	Animalia
Delitschia consociata	COI-5P	Animalia
Brefeldia maxima	COI-5P	Animalia
Amaranthus blitum	COI-5P	Animalia
Veronica peduncularis	COI-5P	Animalia
Persicaria figertii	COI-5P	Animalia
Tubifera dudkae	COI-5P	Animalia
Pergamasus longicornis	COI-5P	Animalia
Viola tricolor	COI-5P	Animalia
Erysimum aureum	COI-5P	Animalia
Cupiennius salei	COI-5P	Animalia
Carex xanthocarpa	COI-5P	Animalia
Eubranchus vittatus	COI-5P	Animalia
Taraxacum severum	COI-5P	Animalia
Flagelloscypha libertiana	COI-5P	Animalia
Uroobovella marginata	COI-5P	Animalia
Thyronectria aurigera	COI-5P	Animalia
Uromyces dianthi	COI-5P	Animalia
Edwardsiana plebeja	COI-5P	Animalia
Rubus genevieri	COI-5P	Animalia
Chaerophyllum hirsutum	COI-5P	Animalia
Elaphropus diabrachys	COI-5P	Animalia
Datura ferox	COI-5P	Animalia
Myosotis alpestris	COI-5P	Animalia
Phragmidium sanguisorbae	COI-5P	Animalia
Protoribates lophotrichus	COI-5P	Animalia
Lumbrineris tetraura	COI-5P	Animalia
Hercinothrips dimidiatus	COI-5P	Animalia
Lonicera sempervirens	COI-5P	Animalia
Oribatella reticulata	COI-5P	Animalia
Mullus barbatus	COI-5P	Animalia
Ilyocryptus spinosus	COI-5P	Animalia
Parathyas colligera	COI-5P	Animalia
Parasitellus talparum	COI-5P	Animalia
Thyridaria maculans	COI-5P	Animalia
Uroobovella appendiculata	COI-5P	Animalia
Pagellus erythrinus	COI-5P	Animalia
Scatella lacustris	COI-5P	Animalia
Melinis repens	COI-5P	Animalia
Calospora arausiaca	COI-5P	Animalia
Prosthecium pyriforme	COI-5P	Animalia
Corynosoma tunitae	COI-5P	Animalia
Macrosiphum euphorbiae	COI-5P	Animalia
Idaea degeneraria	COI-5P	Animalia
Encentrum algente	COI-5P	Animalia
Laonice cirrata	COI-5P	Animalia
Trypoxylon beaumonti	COI-5P	Animalia
Anchusa undulata	COI-5P	Animalia
Agromyza bromi	COI-5P	Animalia
Koeleria vallesiana	COI-5P	Animalia
Pinus cembra	COI-5P	Animalia
Ptygura beauchampi	COI-5P	Animalia
Nereimyra punctata	COI-5P	Animalia
Byssonectria fusispora	COI-5P	Animalia
Epermenia aequidentellus	COI-5P	Animalia
Psathyrella spadiceogrisea	COI-5P	Animalia
Uroobovella fimicola	COI-5P	Animalia
Eulalia viridis	COI-5P	Animalia
Badhamia melanospora	COI-5P	Animalia
Thecotheus formosanus	COI-5P	Animalia
Porrhoclubiona leucaspis	COI-5P	Animalia
Cooperia surnabada	COI-5P	Animalia
Evergestis aenealis	COI-5P	Animalia
Ophelia neglecta	COI-5P	Animalia
Natarsia nugax	COI-5P	Animalia
Nasa triphylla	COI-5P	Animalia
Flammulina elastica	COI-5P	Animalia
Parachipteria punctata	COI-5P	Animalia
Taraxacum subditivum	COI-5P	Animalia
Trimorus thomsoni	COI-5P	Animalia
Taraxacum subdissimile	COI-5P	Animalia
Hyphodontia incrustata	COI-5P	Animalia
Physarum sessile	COI-5P	Animalia
Dactylorhiza wiefelspuetziana	COI-5P	Animalia
Macrosiphoniella millefolii	COI-5P	Animalia
Lebertia holsatica	COI-5P	Animalia
Pennella filosa	COI-5P	Animalia
Spilomicrus compressus	COI-5P	Animalia
Nephtys incisa	COI-5P	Animalia
Omphalina peltigerina	COI-5P	Animalia
Typhlodromus involutus	COI-5P	Animalia
Berginus tamarisci	COI-5P	Animalia
Thaumatogelis gallicus	COI-5P	Animalia
Niphargus stygius 10.4	COI-5P	Animalia
Conocybe microrrhiza	COI-5P	Animalia
Entoloma iodiolens	COI-5P	Animalia
Lentithecium fluviatile	COI-5P	Animalia
Chrysanthemum morifolium	COI-5P	Animalia
Mucronella styriaca	COI-5P	Animalia
Chrysomphalus aonidum	COI-5P	Animalia
Cerodontha scutellaris	COI-5P	Animalia
Bradya simulans	COI-5P	Animalia
Euphorbia serpens	COI-5P	Animalia
Packera paupercula	COI-5P	Animalia
Calamagrostis arundinacea	COI-5P	Animalia
Rubus chloocladus	COI-5P	Animalia
Tanacetum corymbosum	COI-5P	Animalia
Clavulicium delectabile	COI-5P	Animalia
Caparinia tripilis	COI-5P	Animalia
Gyraulus acronicus	COI-5P	Animalia
Trichobolus sphaerosporus	COI-5P	Animalia
Platygloea effusa	COI-5P	Animalia
Liriomyza xanthocera	COI-5P	Animalia
Verbena incompta	COI-5P	Animalia
Harpypalpoides johnstoni	COI-5P	Animalia
Chironomus heteropilicornis	COI-5P	Animalia
Taraxacum fulgidum	COI-5P	Animalia
Taraxacum filidens	COI-5P	Animalia
Liriomyza demeijerei	COI-5P	Animalia
Napomyza hirticornis	COI-5P	Animalia
Pseudoparasitus missouriensis	COI-5P	Animalia
Sylvia althaea	COI-5P	Animalia
Helianthemum apenninum	COI-5P	Animalia
Brachycaudus spiraeae	COI-5P	Animalia
Kalmia latifolia	COI-5P	Animalia
Azteca xanthochroa	COI-5P	Animalia
Bidens subalternans	COI-5P	Animalia
Lophiostoma viridarium	COI-5P	Animalia
Aegilops lorentii	COI-5P	Animalia
Milax nigricans	COI-5P	Animalia
Contracaecum osculatum	COI-5P	Animalia
Juncus diffusissimus	COI-5P	Animalia
Leucanthemella serotina	COI-5P	Animalia
Neomida haemorrhoidalis	COI-5P	Animalia
Rubus calviformis	COI-5P	Animalia
Collinsia parviflora	COI-5P	Animalia
Epilobium purpureum	COI-5P	Animalia
Tapinoma magnum	COI-5P	Animalia
Taraxacum gelertii	COI-5P	Animalia
