phylum	class	order	family
Arthropoda	Insecta	Coleoptera	Anthicidae
Arthropoda	Insecta	Coleoptera	Cantharidae
Arthropoda	Insecta	Coleoptera	Cerambycidae
Arthropoda	Insecta	Coleoptera	Cetoniidae
Arthropoda	Insecta	Coleoptera	Chrysomelidae
Arthropoda	Insecta	Coleoptera	Dermestidae
Arthropoda	Insecta	Coleoptera	Glaphyridae
Arthropoda	Insecta	Coleoptera	Melolonthidae
Arthropoda	Insecta	Coleoptera	Melyridae
Arthropoda	Insecta	Coleoptera	Mordellidae
Arthropoda	Insecta	Coleoptera	Nitidulidae
Arthropoda	Insecta	Coleoptera	Oedemeridae
Arthropoda	Insecta	Coleoptera	Orsodacnidae
Arthropoda	Insecta	Coleoptera	Phalacridae
Arthropoda	Insecta	Coleoptera	Rutelidae
Arthropoda	Insecta	Coleoptera	Scraptiidae
Arthropoda	Insecta	Diptera	Anthomyiidae
Arthropoda	Insecta	Diptera	Bibionidae
Arthropoda	Insecta	Diptera	Bombyliidae
Arthropoda	Insecta	Diptera	Calliphoridae
Arthropoda	Insecta	Diptera	Chloropidae
Arthropoda	Insecta	Diptera	Fanniidae
Arthropoda	Insecta	Diptera	Tachinidae
Arthropoda	Insecta	Diptera	Tephritidae
Arthropoda	Insecta	Diptera	Empididae
Arthropoda	Insecta	Diptera	Muscidae
Arthropoda	Insecta	Diptera	Syrphidae
Arthropoda	Insecta	Hemiptera	Miridae
Arthropoda	Insecta	Hemiptera	Pentatomidae
Arthropoda	Insecta	Hemiptera	Scutelleridae
Arthropoda	Insecta	Hymenoptera	Ammoplanidae
Arthropoda	Insecta	Hymenoptera	Ampulicidae
Arthropoda	Insecta	Hymenoptera	Andrenidae
Arthropoda	Insecta	Hymenoptera	Apidae
Arthropoda	Insecta	Hymenoptera	Astatidae
Arthropoda	Insecta	Hymenoptera	Bembicidae
Arthropoda	Insecta	Hymenoptera	Bethylidae
Arthropoda	Insecta	Hymenoptera	Bradynobaenidae
Arthropoda	Insecta	Hymenoptera	Chrysididae
Arthropoda	Insecta	Hymenoptera	Colletidae
Arthropoda	Insecta	Hymenoptera	Crabronidae
Arthropoda	Insecta	Hymenoptera	Dryinidae
Arthropoda	Insecta	Hymenoptera	Embolemidae
Arthropoda	Insecta	Hymenoptera	Formicidae
Arthropoda	Insecta	Hymenoptera	Halictidae
Arthropoda	Insecta	Hymenoptera	Megachilidae
Arthropoda	Insecta	Hymenoptera	Melittidae
Arthropoda	Insecta	Hymenoptera	Mellinidae
Arthropoda	Insecta	Hymenoptera	Mutillidae
Arthropoda	Insecta	Hymenoptera	Myrmosidae
Arthropoda	Insecta	Hymenoptera	Pemphredonidae
Arthropoda	Insecta	Hymenoptera	Philanthidae
Arthropoda	Insecta	Hymenoptera	Pompilidae
Arthropoda	Insecta	Hymenoptera	Psenidae
Arthropoda	Insecta	Hymenoptera	Sapygidae
Arthropoda	Insecta	Hymenoptera	Sclerogibbidae
Arthropoda	Insecta	Hymenoptera	Scoliidae
Arthropoda	Insecta	Hymenoptera	Sphecidae
Arthropoda	Insecta	Hymenoptera	Tiphiidae
Arthropoda	Insecta	Hymenoptera	Vespidae
Arthropoda	Insecta	Lepidoptera	Acanthopteroctetidae
Arthropoda	Insecta	Lepidoptera	Adelidae
Arthropoda	Insecta	Lepidoptera	Alucitidae
Arthropoda	Insecta	Lepidoptera	Argyresthiidae
Arthropoda	Insecta	Lepidoptera	Autostichidae
Arthropoda	Insecta	Lepidoptera	Batrachedridae
Arthropoda	Insecta	Lepidoptera	Bedelliidae
Arthropoda	Insecta	Lepidoptera	Blastobasidae
Arthropoda	Insecta	Lepidoptera	Bombycidae
Arthropoda	Insecta	Lepidoptera	Brachodidae
Arthropoda	Insecta	Lepidoptera	Brahmaeidae
Arthropoda	Insecta	Lepidoptera	Bucculatricidae
Arthropoda	Insecta	Lepidoptera	Carposinidae
Arthropoda	Insecta	Lepidoptera	Castniidae
Arthropoda	Insecta	Lepidoptera	Choreutidae
Arthropoda	Insecta	Lepidoptera	Cimeliidae
Arthropoda	Insecta	Lepidoptera	Coleophoridae
Arthropoda	Insecta	Lepidoptera	Cosmopterigidae
Arthropoda	Insecta	Lepidoptera	Cossidae
Arthropoda	Insecta	Lepidoptera	Depressariidae
Arthropoda	Insecta	Lepidoptera	Douglasiidae
Arthropoda	Insecta	Lepidoptera	Drepanidae
Arthropoda	Insecta	Lepidoptera	Dryadaulidae
Arthropoda	Insecta	Lepidoptera	Elachistidae
Arthropoda	Insecta	Lepidoptera	Endromidae
Arthropoda	Insecta	Lepidoptera	Epermeniidae
Arthropoda	Insecta	Lepidoptera	Epipyropidae
Arthropoda	Insecta	Lepidoptera	Erebidae
Arthropoda	Insecta	Lepidoptera	Eriocottidae
Arthropoda	Insecta	Lepidoptera	Eriocraniidae
Arthropoda	Insecta	Lepidoptera	Euteliidae
Arthropoda	Insecta	Lepidoptera	Galacticidae
Arthropoda	Insecta	Lepidoptera	Gelechiidae
